ACC_NAME_TH,ACC_NAME_EN,ACCOM_TYPE_NAME,ACC_ROOM,ACC_HILIGHT,ACC_HIGH_RATE,ACC_LOW_RATE,ACC_ROAD,REGION_NAME_TH,SUBDISTRICT_NAME_TH,DISTRICT_NAME_TH,PROVINCE_NAME_TH,ACC_LOCATION,Latitude,Longitude,ACC_STANDARD,ACC_LOCATION_1
มายเพลส แอทสุราษฎร์โฮเต็ล,My Place@Surat Hotel,โรงแรม,55,,620,199,หน้าเมือง,ภาคใต้,ตลาด,เมืองสุราษฎร์ธานี,สุราษฎร์ธานี,"9.144161997402184, 99.32556733489037",9.144161997402184, 99.32556733489037,,"9.144161997402184, 99.32556733489037"
อันดามัน ไทย บูติก รีสอร์ท,Andaman Thai Boutique Resort,รีสอร์ท,28,,2000,850,วิเศษ,ภาคใต้,ราไวย์,เมืองภูเก็ต,ภูเก็ต,"7.98431, 98.3307",7.98431,98.3307,6,"7.98431, 98.3307"
กาลาโต้ คอฟฟี่ โฮสเทล,Galato Coffee and Hostel,เกสท์เฮ้าส์,12,,1000,500,มณีนพรัตน์,ภาคเหนือ,ศรีภูมิ,เมืองเชียงใหม่,เชียงใหม่,"16.4350845, 102.836005",16.4350845,102.836005,6,"16.4350845, 102.836005"
เดอะ บริดจ์ เรซิเดนซ์ โฮเท็ล,The Bridge Residence Hotel,โรงแรม,54,,5000,1800,แม่น้ำแคว,ภาคกลาง,ท่ามะขาม,เมืองกาญจนบุรี,กาญจนบุรี,"14.0363275, 99.51686769999999",14.0363275, 99.51686769999999,6,"14.0363275, 99.51686769999999"
กินรี กาญจน์ อพาร์ทเม้นท์,Kinnaree Kan Apartment,เซอร์วิส อพาร์ทเมนท์,40,,450,450,ทุ่งนาเลี่ยงเมือง,ภาคกลาง,ปากแพรก,เมืองกาญจนบุรี,กาญจนบุรี,"14.012496, 99.549084",14.012496,99.549084,6,"14.012496, 99.549084"
พูลแมน ภูเก็ต อาคาเดีย ในทอน บีช,Pullman Phuket Arcadia Naithon Beach,โรงแรม,277,,44500,8500,,ภาคใต้,สาคู,ถลาง,ภูเก็ต,"8.0633473, 98.2765714",8.0633473,98.2765714,6,"8.0633473, 98.2765714"
อันดามัน เอมเบรส รีสอร์ท แอนด์ สปา,Andaman Embrace Resort and Spa,โรงแรม,202,,25000,3900,หาดป่าตอง,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.899452499999998, 98.2988642",7.899452499999998,98.2988642,6,"7.899452499999998, 98.2988642"
กะรน ภูนาคา รีสอร์ท แอนด์ สปา,Karon Phunaka Resort and Spa,รีสอร์ท,86,,2900,1100,,ภาคใต้,กะรน,เมืองภูเก็ต,ภูเก็ต,"7.8510243, 98.29918769999999",7.8510243, 98.29918769999999,6,"7.8510243, 98.29918769999999"
รัสติค ริเวอร์ บูติค,Rustic River Boutique,โรงแรม,12,,1800,1200,ท้ายวัง,ภาคเหนือ,ช้างม่อย,เมืองเชียงใหม่,เชียงใหม่,"18.7925583, 98.99875650000001",18.7925583, 98.99875650000001,6,"18.7925583, 98.99875650000001"
เคทู สุราษฎร์ธานี,K2 Hotel Suratthani,โรงแรม,44,,800,590,,ภาคใต้,คลองไทร,ท่าฉาง,สุราษฎร์ธานี,"9.186757142516065, 99.13897544145584",9.186757142516065, 99.13897544145584,,"9.186757142516065, 99.13897544145584"
หาดสำเร็จ รีสอร์ท,,รีสอร์ท,17,,700,400,,ภาคใต้,ท่าชนะ,ท่าชนะ,สุราษฎร์ธานี,"9.587332077438198, 99.20388892292976",9.587332077438198, 99.20388892292976,,"9.587332077438198, 99.20388892292976"
บ้านสวน 161,baan suan 161,โรงแรม,19,,500,200,,ภาคตะวันออก,บ้านพระ,เมืองปราจีนบุรี,ปราจีนบุรี,"14.1081277, 101.3673782",14.1081277,101.3673782,,"14.1081277, 101.3673782"
เรด แพลนเนต ป่าตอง ภูเก็ต,Red Planet Hotel Patong,โรงแรม,150,,2500,500,ราษฎร์อุทิศ 200 ปี,ภาคใต้,ป่าตอง,กะทู้,ภูเก็ต,"7.901237000000001, 98.300359",7.901237000000001,98.300359,6,"7.901237000000001, 98.300359"
เลอบลอค (Leblocs),LeBlocs,รีสอร์ท,14,,600,600,กม. 2 ฝั่งซ้าย,ภาคตะวันออก,อรัญประเทศ,อรัญประเทศ,สระแก้ว,"13.6805564, 102.5213655",13.6805564,102.5213655,,"13.6805564, 102.5213655"
นวธารา ภูเก็ต รีสอร์ท,(Navatara Phuket Resort),รีสอร์ท,102,,6500,5000,วิเศษ,ภาคใต้,ราไวย์,เมืองภูเก็ต,ภูเก็ต,"7.7695516, 98.31594489999999",7.7695516, 98.31594489999999,6,"7.7695516, 98.31594489999999"
ฉลอง บีช ฟรอนต์ เรสซิเด้นซ์,Chalong Beach Front Residence,โรงแรม,14,,8000,8000,วิเศษ,ภาคใต้,ราไวย์,เมืองภูเก็ต,ภูเก็ต,"7.804245600000001, 98.3381187",7.804245600000001,98.3381187,6,"7.804245600000001, 98.3381187"
ทรัพย์มุกดา,,โรงแรม,34,,500,400,ถ.ชยางกรู,ภาคตะวันออกเฉียงเหนือ,มุกดาหาร,เมืองมุกดาหาร,มุกดาหาร,"16.627634, 104.7326748",16.627634,104.7326748,,"16.627634, 104.7326748"
